Category: All categories
"how can you: (4/24/12 - 4/24/17, United States)"

TOP
how soon can you take a pregnancy test,100
how can you tell if your pregnant,95
how can you get herpes,85
how early can you take a pregnancy test,65
can you get pregnant on your period,50
how low can you go,45
how long can you go without food,30
how long can you go without water,20
how long can you keep chicken in the fridge,20
how often can you take ibuprofen,15
how much can you make with uber,10
how can you get ebola,10
how often can you take tylenol,10
how much muscle can you gain in a month,10
how many days can you go without water,5
how long can you keep a tampon in,5
how can you tell if eggs are bad,5
how to play can you escape,5
how can you vote for donald trump,0

RISING
how much can you make with uber,"+2,350%"
how can you get ebola,"+1,100%"
how can you vote for donald trump,+400%
how to play can you escape,+250%
how often can you take ibuprofen,+170%
how often can you take tylenol,+80%
how can you tell if eggs are bad,+70%
how many days can you go without water,+40%

