Category: All categories
"i want to: (4/24/12 - 4/24/17, United States)"

TOP
i want you,100
i want to be,60
i want to do,60
i want to know,25
i want you to want me,25
i want to go,20
i want to see,20
i love you,15
i want to love you,15
i want to know you,15
i want to say,10
i want to buy,10
i want to live,10
i want to play,5
i want to watch,5
i want to see you,5
i want to die,5
all i want to do,5
i dont want to be,5
i want to be with you,5
i want you to want me lyrics,5
i want to fuck you,5
i want to know what love is,5
i want to rock,5
i want you to know lyrics,5

RISING
okay google,Breakout
i want to see you be brave,Breakout
do you want to build a snowman,Breakout
i want you to know zedd,Breakout
i want you to be mine again baby,Breakout
i want to marry harry,"+4,700%"
i want you to stay rihanna,"+4,300%"
i want to be famous vine,"+4,100%"
i just want to feel this moment,"+3,550%"
i want to swing from the chandelier,"+3,400%"
i want all these hoes to know,"+2,750%"
i want you all to myself i swear,"+2,700%"
i want to take shots with somebody,"+2,400%"
i want to scream and shout and let it all out,"+2,350%"
of course i want to build a snowman,"+2,250%"
honestly i want to see you be brave,"+1,850%"
i just want to feel this moment lyrics,"+1,750%"
i want you to take me serious,"+1,450%"
i want all these hoes to know that a real,"+1,450%"
i want to scream and shout,"+1,200%"
hey i want to be famous,"+1,050%"
i really want to love somebody,+900%
i want to make you feel wanted,+750%
i just want to see you be brave,+650%
lyrics to i want crazy by hunter hayes,+500%

