Category: All categories
"why is my: (4/24/12 - 4/24/17, United States)"

TOP
why is my poop green,100
why is my internet slow,50
why is my internet so slow,35
why is my eye twitching,35
why is my period late,30
why is my computer so slow,25
why is my hair falling out,20
why is my period brown,15
why is my vagina itchy,15
what is my ip,15
why is my poop black,15
why is my iphone so slow,15
why is my printer offline,15
why is my tongue white,15
why is my mac so slow,15
if our love is tragedy why are you my remedy,10
why is my phone so slow,10
why is my battery yellow,10
why is my wifi so slow,10
why is my wifi not working,10
why is my ipad so slow,10
why my son is crying,10
why is my battery draining so fast,5
why is my phone hot,5
why is my iphone hot,5

RISING
if our love is tragedy why are you my remedy,Breakout
why is my iphone battery yellow,Breakout
why is my battery yellow,"+3,550%"
why is there a moon on my iphone,"+2,600%"
why my son is crying,"+2,500%"
why my kid is crying,"+1,900%"
why is my imessage not working,"+1,150%"
why is my wifi limited,+550%
why is my battery draining so fast,+300%
why is my ipad so slow,+300%
why is my facetime not working,+250%
why is my phone in safe mode,+250%
why is my data not working,+250%
why is my butthole so itchy,+250%
why is my iphone not ringing,+200%
why is my phone so hot,+190%
why is my phone not charging,+190%
why is my phone hot,+180%
why is my iphone battery draining so fast,+180%
why is my phone so slow,+160%
why is my wifi not working,+160%
why is my iphone not charging,+140%
why is my wifi so slow,+140%
why is my iphone hot,+140%
why is my iphone battery dying so fast,+140%

